index,y
0,617.4376501952149
1,185.77787326517944
2,625.5679883324644
3,1284.8213231052896
4,1114.5077635344974
5,310.8695304436985
6,461.07637277600236
7,258.4104020409853
8,898.272403627445
9,182.56394293565904
10,992.0373624584244
11,331.7911570031565
12,477.474444849958
13,289.4641109630727
14,239.29443114041254
15,312.3006174250859
16,999.7735217987732
17,664.2414987736961
18,463.07567289980784
19,199.37964858506015
20,630.0730208668415
21,184.74086481583544
22,269.85707774916455
23,858.5980471003458
24,1217.950361735887
25,423.52939583750134
26,561.7584279013392
27,245.0397127446152
28,677.1305184135936
29,372.5253187061109
30,207.10266751005076
31,1453.6087791404934
32,649.3879427927402
33,549.3150348194993
34,612.4030938374527
35,182.4163987376059
36,307.009968735441
37,208.563019651088
38,439.1549738571256
39,421.1733612421053
40,158.4178120262782
41,352.4286923845639
42,887.7357049382584
43,93.80021558618947
44,785.4524259911728
45,200.90539516045482
46,554.6564404360912
47,481.63300810645745
48,151.39946006468622
49,539.035227396266
50,407.87593314878876
51,358.9196655694478
52,577.0217864589933
53,423.5141642693145
54,165.43744873413934
55,862.8418388912096
56,212.06221224168328
57,642.1309432838433
58,828.1102971867259
59,126.05754021530663
60,311.9095446511061
61,419.04381914345197
62,533.8804670609308
63,263.59854513978837
64,732.5515811568843
65,329.2250946943858
66,822.4946381423972
67,447.0294835664646
68,173.57561005236678
69,196.984199799865
70,961.9353075603033
71,243.53752502933548
72,436.4188336764706
73,553.0311544322299
74,396.13603777120886
75,216.81025315232995
76,135.368383268352
77,222.45535172732937
78,205.28862357531983
79,119.33705290409593
80,161.78590256152626
81,134.19706508389106
82,559.0052097208561
83,152.18401403251124
84,251.17678689394108
85,219.9775726345034
86,292.227464070978
87,138.49144911999585
88,478.4181251328007
89,193.8410287111099
90,145.8778025690202
91,192.7943738908247
92,432.17496784566765
93,606.4655493143615
94,194.37511384959282
95,1206.0445544954
96,298.3860528339005
97,505.8383209275706
98,329.1845637574111
99,277.95419110679126
100,584.0559878877092
101,1107.9343388653494
102,543.2691187889078
103,1274.1425642625074
104,487.8910083281706
105,1647.0323491848076
106,1557.3999070540378
107,103.16472970906038
108,267.4960224006157
109,475.42365464783575
110,125.5170867432284
111,673.7476019151758
112,535.9939862961567
113,151.01948060704783
114,278.262770658241
115,366.2776925473966
116,354.93498473836104
117,423.6226998473938
118,108.90487446071374
119,494.76512819100697
120,373.5876157160324
121,464.01867499683453
122,723.4460590064999
123,312.5500988896349
124,897.1422146320755
125,179.71661659569946
126,433.14089845187624
127,469.1033146011665
128,590.9471103055614
129,325.8389202584499
130,424.57901548561097
131,471.1374478454671
132,413.4623044753796
133,115.42394130123284
134,130.28101234422195
135,250.19277052024674
136,448.1483480037832
137,429.2092473690431
138,543.0018683752874
139,542.7418531333085
140,589.8233243104401
141,487.0693479531734
142,445.5493026633887
143,638.440342701136
144,483.3538015065341
145,128.49047534478885
146,93.88919202448713
147,430.97955196792316
148,363.115599718473
149,511.62198283909413
150,253.39524941067984
151,464.34725398398894
152,1263.358934449362
153,503.0519956946554
154,295.80775184351575
155,119.70707249415904
156,436.7669687480201
157,218.32699067144574
158,349.09464173663423
159,157.16222989090707
160,952.9462488262949
161,253.44071288978068
162,1038.6198724371022
163,334.32792505468484
164,1081.8252100678224
165,102.3268642161125
166,390.22317806094657
167,259.1262332126927
168,370.18364761005125
169,263.22148395033787
170,428.16999279841264
171,615.1033475190193
172,757.4211108565001
173,702.8899347828366
174,376.3202202372052
175,238.44627050076656
176,192.81492471058777
177,363.2521998719341
178,134.1420100592114
179,784.563360952819
180,640.8773398559001
181,133.1031075057608
182,564.9734844692897
183,500.1256231548422
184,166.2335203938695
185,241.99428819729326
186,146.8851890698339
187,455.9180068809666
188,132.6591355207263
189,237.96060764428705
190,602.9758718715947
191,312.8623778696885
192,161.00926013143132
193,588.179698089862
194,231.72247694300066
195,217.0949005571022
196,317.63255787296947
197,408.1723945631811
198,152.1317813329495
199,577.4043717516508
200,330.84794186774184
201,312.003015747324
202,1740.2477938344234
203,431.49286462414915
204,242.48896916110328
205,141.7944896788762
206,248.23006768978496
207,154.5662464693288
208,377.6648502659871
209,710.4320983775395
210,379.43778831499765
211,967.04482693888
212,242.4566904055651
213,225.23178331882642
214,295.69519545454693
215,273.30921273834076
216,561.1731670022853
217,478.84275970920936
218,704.6528456283806
219,1534.6576508932558
220,784.5330011097567
221,769.456243504446
222,1123.7733619697747
223,572.2025823939643
224,456.30393930935537
225,1051.7914815138681
226,143.64515178637055
227,390.349164005763
228,860.9855677923069
229,565.6467494978734
230,113.40273966838355
231,641.7719669155533
232,496.42093133776865
233,406.40797445658745
234,82.59547773336482
235,173.05807157457832
236,247.5605768027248
237,618.471412370838
238,189.07058720543066
239,333.76934099071275
240,111.68873935738014
241,203.7224176051024
242,659.5740034597942
243,373.1151055828115
244,196.41024572383276
245,1355.9426000430776
246,713.6394677311623
247,328.754000883506
248,498.21398179397937
249,695.6393418800011
250,139.80238049992158
251,432.13771520266715
252,427.3310652433782
253,258.25036228936796
254,211.21864779540996
255,441.51458886177966
256,169.41333128808256
