index,y
0,618.1918947251513
1,186.2963319298371
2,625.2281241916303
3,1273.4359288623848
4,1101.8946106247236
5,312.92314971103497
6,462.7673053383112
7,260.42634347114904
8,891.5340494443049
9,182.44082817909631
10,980.496197766732
11,332.90641215818835
12,476.0885222532687
13,290.52755251770105
14,240.62113689822655
15,314.2775827339232
16,985.4872301314929
17,664.324789527658
18,464.6190981451923
19,199.01556876948877
20,628.1010370249334
21,185.9549354923135
22,271.1958992049541
23,861.3743974873332
24,1210.662613750891
25,424.8384692221658
26,563.071513928571
27,245.92080658156593
28,677.6395848943606
29,372.33010996109203
30,207.76516078565
31,1416.3238715762254
32,647.0841176451402
33,549.0323933051963
34,613.5072422592602
35,183.37027363144514
36,307.6658157959524
37,209.1579270729825
38,439.4253712802097
39,422.6872185821172
40,159.33162866257416
41,354.0692579754582
42,882.5736602672922
43,93.43331737581627
44,782.4931572019133
45,201.69425049475393
46,558.0739458140354
47,484.3761442930121
48,150.7773192695219
49,538.6269971706012
50,408.1312429576817
51,358.344959998463
52,577.2468385181602
53,425.6800439502416
54,165.3072165699799
55,851.4059919525107
56,212.5603604042844
57,640.8055795590789
58,829.4801044988311
59,126.62990368560897
60,313.9970419805985
61,421.04263154824605
62,532.823485457918
63,263.5906529220488
64,759.6368721945008
65,330.6975766290281
66,818.1060116604172
67,447.08798814071787
68,172.67716302555195
69,198.64672267410026
70,948.7768971043123
71,243.34940902192864
72,437.82613726277924
73,551.4432909677079
74,398.33443759797996
75,217.15783912282126
76,135.33035976113987
77,222.90384512808848
78,205.901677294213
79,118.74377737914749
80,161.0180105141562
81,135.00797913413288
82,557.74398632745
83,152.50229028053334
84,251.83156968994675
85,220.14530847234377
86,292.7642443375666
87,137.9044069336777
88,478.41870024365517
89,194.29340956226963
90,145.64762657124226
91,192.1036388376145
92,432.934124004665
93,606.2322534315016
94,195.0780565199604
95,1206.1144165861929
96,298.99146900194097
97,508.005787822283
98,330.20743939866657
99,280.58311277342597
100,584.4667735360147
101,1102.4530328844694
102,543.7550516557317
103,1253.5209892809692
104,489.750186849556
105,1613.7990976837773
106,1523.5782257508258
107,102.95141602967966
108,269.3083298033176
109,476.67025477775314
110,126.07093430532079
111,674.0660540696052
112,535.0801478427422
113,150.73604946506046
114,278.2264755251353
115,368.0952626424662
116,354.6402437036942
117,425.8224837779359
118,107.5346546807703
119,496.9039958405033
120,374.98183679021946
121,464.8999324434815
122,720.1280510868461
123,313.64705748558583
124,895.1251751000734
125,179.50012930072577
126,435.52608827510835
127,470.7952320978992
128,591.5838071145959
129,327.74031623643737
130,424.73440754809695
131,471.44388325118894
132,414.29970048617207
133,114.60763898180511
134,129.94171249194054
135,250.30861452967915
136,449.19934739224175
137,429.50169015472073
138,543.2023204744739
139,543.3748736116743
140,590.2959468174897
141,488.19828118581734
142,447.4400728166806
143,636.7135624622904
144,485.3423075274243
145,128.61901938013835
146,93.1635057206305
147,432.5962762670099
148,365.0113095493142
149,510.8163064636017
150,254.55599679968935
151,465.0291344321986
152,1265.2455001488445
153,503.18489317462485
154,297.8848232725587
155,119.71894209343633
156,439.25884773470113
157,219.79382396249645
158,350.88695109003373
159,157.16563776005495
160,942.7180940178222
161,254.0419643059984
162,1024.8189901178512
163,336.75565400564506
164,1070.5692185583305
165,102.41999725450604
166,392.4774684388171
167,260.94756345570374
168,370.2508453125942
169,263.07474802099307
170,429.9564649010182
171,613.112464516962
172,759.8188295765837
173,701.5844935818584
174,377.19807234852647
175,239.80188271044153
176,192.8401818528999
177,363.4909705712984
178,135.83519415917118
179,780.9302289630342
180,643.3757601506729
181,133.14388067144864
182,566.0291034717518
183,501.1428277657518
184,167.6930510966473
185,242.11281389975136
186,147.08908309761858
187,456.0523324114216
188,133.0621496007929
189,239.74306312903985
190,605.1691384854962
191,313.93959094833235
192,162.1410211882237
193,589.7439123941843
194,232.3784493097185
195,218.72630436365608
196,318.0485485642064
197,409.84727243605096
198,152.016275608699
199,575.7828090227209
200,331.1499118703489
201,314.0681355669659
202,1709.2382755941703
203,431.5460223579275
204,243.37301334681118
205,141.66952570775692
206,249.67684332433757
207,155.02580505079644
208,378.7095672746982
209,712.7855428618174
210,380.42397273329664
211,960.425001790639
212,242.0992581984419
213,225.5651773882563
214,297.8805251705355
215,273.4063777868924
216,561.4022834186808
217,480.1967258978651
218,704.0587231186108
219,1493.6249323605948
220,783.9669767154612
221,769.6713991693725
222,1107.5573870164576
223,571.6387874640589
224,455.8388882794272
225,1050.9298952427132
226,143.5819795592761
227,392.44546192609334
228,854.6491253409913
229,566.7348141614044
230,113.63389230897158
231,642.7404142564939
232,496.10829907808045
233,408.628777751102
234,81.62778837770503
235,173.03647831433614
236,248.95753727290057
237,618.1089540802558
238,188.73995438564134
239,335.38082602963135
240,112.6616453065438
241,203.91580369594294
242,658.0554818017056
243,374.8142927316401
244,196.95657168273897
245,1312.7580484641185
246,715.4249009987745
247,330.6455144580143
248,496.93441713043876
249,697.6818293957125
250,140.50698395330267
251,434.1028884778692
252,428.30651034391644
253,259.351957000668
254,212.44851449230976
255,443.69761154361026
256,168.5339620451393
257,330.6322116284901
258,182.60958604588217
259,371.0880224505862
260,197.35610294624433
261,232.2006750901412
262,332.6919459120194
263,249.40669663850886
264,105.93872540833661
265,429.2511324682888
266,170.5755487098936
267,122.68806530850287
268,176.62099288214074
269,131.17643363628508
270,596.5449574326236
271,236.01571050865425
272,654.7356268608147
273,1918.5871719191803
274,469.7188662126142
275,125.93671397242068
276,456.167670872081
277,518.586054736845
278,478.09826499669566
279,671.3145524102686
280,163.49551271764835
281,200.61367504016494
282,221.3262669292916
283,157.22277198352657
284,189.52925896041387
285,251.34950864396012
286,718.0237811453948
287,144.7716672545298
288,168.03581933990202
289,349.23840094409513
290,316.0425282892804
291,224.9816450812636
292,211.56069892624436
293,248.373285764778
294,221.10679694407608
295,337.6192488154024
296,340.9492234089339
297,804.95656001984
298,432.8444536417783
299,651.5528809165548
300,730.0942782104985
301,271.63086854236894
302,346.04891733051204
303,302.78683120528433
304,1053.4246454922113
305,146.26528199696642
306,530.5419941120508
307,452.4924785438084
308,206.54446770526962
309,505.9481785425747
310,403.48579978307373
311,134.5798683705894
312,214.25417968852793
313,173.55861576706403
314,284.09868654242985
315,220.58418791036502
316,286.80096649164034
317,215.76056424692217
318,1117.1792306072962
319,563.8711833178413
320,616.9773240506129
321,299.06280516364563
322,1050.2092384721136
323,788.9277601930634
324,645.8822358442537
325,133.11350897171042
326,313.996673252673
327,320.8023284354824
328,215.65148404009102
329,841.0678561900211
330,396.5665519063725
331,252.57110670952676
332,451.3961914406061
333,596.5267867655797
334,425.95947645936263
335,429.6649572042062
336,161.29283063900377
337,413.76016401357964
338,2213.2654293032638
339,110.99656405577619
340,278.7390763422365
341,320.09074960346044
342,219.26852995733623
343,351.2482580095539
344,946.2780240520672
345,346.9418575907087
346,592.8148273815057
347,343.79131450524767
348,930.4760659477408
349,124.76158544093563
350,474.5942690281852
351,383.89308366168814
352,151.28973541661858
353,220.6039749062488
354,700.996882172148
355,704.8883239920467
356,139.3261590386267
357,334.4611757668314
358,334.8676699321797
359,574.576304019645
360,406.5826215564185
361,157.37394014764484
362,454.27810566677397
363,332.2111045109391
364,345.96554509024315
365,275.6080524004548
366,433.63655221672576
367,245.80832972603588
368,354.64016967251814
369,269.93686082982265
370,525.0457052803558
371,143.34600193801552
372,669.3910878066566
373,214.50651374156223
374,147.79509634276465
375,777.638261640547
376,501.4318021853956
377,352.074524759665
378,634.9831818543164
379,1109.8025025710044
380,488.1324501113062
381,457.660574952912
382,228.72494752032057
383,372.06007490070647
384,738.013841681339
385,410.0640768376276
386,616.0851983330506
387,112.47499555176907
388,223.1745119218998
389,351.30925772510034
390,638.3544797144762
391,418.9115123629946
392,810.6270397110675
393,450.29764622031803
394,593.5947961518802
395,316.86378603341126
396,116.52600821901608
397,254.63519598991877
398,287.721441126321
399,203.8095753806519
400,304.66767066173634
401,286.42485385300324
402,170.67594561332146
403,1275.0218726095773
404,109.68821472979336
405,267.1853324249456
406,546.1461944666772
407,275.28382438289634
408,510.50433748717154
409,434.3428747461776
410,1964.1946003298299
411,94.85326724685069
412,281.95563097109516
413,255.1297050772912
414,157.88807075687174
415,129.9899277263154
416,495.7074326534035
417,89.20291789067835
418,235.87698748294574
419,263.74552386543786
